"You wake up, surprisingly refreshed given what happened the night before.","You wake up, surprisingly refreshed given what happened the night before."
[fembro.name] has already left the room... ,[fembro.name] has already left the room... 
Hey.,Hey.
You place a hand on her shoulder.,You place a hand on her shoulder.
{i}POW{/i},{i}POW{/i}
You're thrown back almost a yard. Barely able to keep yourself from collapsing.,You're thrown back almost a yard. Barely able to keep yourself from collapsing.
FUCK!,FUCK!
What! [main.name]?!,What! [main.name]?!
What was that for?,What was that for?
"I'm so sorry, I'm not used to hearing a man's voice in the morning.","I'm so sorry, I'm not used to hearing a man's voice in the morning."
"More importantly, how are you still standing? Everyone I hit ends up on the floor.","More importantly, how are you still standing? Everyone I hit ends up on the floor."
"Well, I'm sturdy as hell.","Well, I'm sturdy as hell."
It still hurts a lot though.,It still hurts a lot though.
Aw shit. Should I take you to the hospital?,Aw shit. Should I take you to the hospital?
"No, it's not that bad. A kiss should be enough.","No, it's not that bad. A kiss should be enough."
You sly tod.,You sly tod.
Sure. why not?,Sure. why not?
"You want to take the chance to kiss her, but she's too quick. By the time you realize she said yes, her lips are already on you.","You want to take the chance to kiss her, but she's too quick. By the time you realize she said yes, her lips are already on you."
{i}WHACK{/i},{i}WHACK{/i}
Your breath is stolen as you are lifted off your feet.,Your breath is stolen as you are lifted off your feet.
"Then, you feel the sharp pain of the impact.","Then, you feel the sharp pain of the impact."
FUCK!,FUCK!
"Of course, the universe is merciful, and you don't have time to focus on that pain.","Of course, the universe is merciful, and you don't have time to focus on that pain."
{i}THUMP{/i},{i}THUMP{/i}
"With your head ringing and your legs wobbling, gravity does its thing.","With your head ringing and your legs wobbling, gravity does its thing."
Holy Shit! [main.name]?!,Holy Shit! [main.name]?!
You barely understand her as all sound fades. You can't keep your eyes open.,You barely understand her as all sound fades. You can't keep your eyes open.
The pain starts to set in... You let the darkness take you.,The pain starts to set in... You let the darkness take you.
[main.name[0]]-[main.name]?,[main.name[0]]-[main.name]?
"God, your head hurts.","God, your head hurts."
Your balls feel like they were hit by a hammer.,Your balls feel like they were hit by a hammer.
You're dizzy and slightly nauseous.,You're dizzy and slightly nauseous.
I'm soooo sorry.,I'm soooo sorry.
Can you hear me?,Can you hear me?
Yeah?,Yeah?
"I'm not used to hearing a man's voice in the morning, you scared the hell out of me.","I'm not used to hearing a man's voice in the morning, you scared the hell out of me."
"But I'm so sorry, I-","But I'm so sorry, I-"
"I'm alright, Auntie. Take a minute to breathe.","I'm alright, Auntie. Take a minute to breathe."
"She inhales, then exhales, blowing your hair back.","She inhales, then exhales, blowing your hair back."
"I'm not injured, and that's all that matters.","I'm not injured, and that's all that matters."
"Your crotch disagrees, but oh well.","Your crotch disagrees, but oh well."
"Yeah, you're right.","Yeah, you're right."
"Come here, you.","Come here, you."
She brings you close and kisses your head.,She brings you close and kisses your head.
"She wraps her arms around you, hugging you tenderly.","She wraps her arms around you, hugging you tenderly."
Her boobs press against your face as she pulls you in tightly.,Her boobs press against your face as she pulls you in tightly.
You're surprised someone so muscular can also be so soft.,You're surprised someone so muscular can also be so soft.
"Her flexed muscles overpower that softness though, and her firm grip pushes you further into her bust.","Her flexed muscles overpower that softness though, and her firm grip pushes you further into her bust."
"You feel like, if she wanted to, she could squeeze you to death.","You feel like, if she wanted to, she could squeeze you to death."
"The softness of her lips, however, is unadulterated.","The softness of her lips, however, is unadulterated."
"Eventually, you have a little trouble breathing.","Eventually, you have a little trouble breathing."
"Despite that, you feel incredibly safe in her arms, between her breasts.","Despite that, you feel incredibly safe in her arms, between her breasts."
"She pulls away, and it feels too soon.","She pulls away, and it feels too soon."
If you need anything just say.,If you need anything just say.
"When you move, you're almost brought to your knees by the pain in your balls.","When you move, you're almost brought to your knees by the pain in your balls."
Ngh,Ngh
[fembro.name]'s trying to reach spices at the top shelf.,[fembro.name]'s trying to reach spices at the top shelf.
[bigsis.name] put those up there on purpose!,[bigsis.name] put those up there on purpose!
[fembro_nouns[0]!c]'s probably right. [bigsis.name] loves fucking with [fembro_nouns[1]].,[fembro_nouns[0]!c]'s probably right. [bigsis.name] loves fucking with [fembro_nouns[1]].
"We're not all tall like you, [main.name].","We're not all tall like you, [main.name]."
[fembro_nouns[0]!c] smiles back at you.,[fembro_nouns[0]!c] smiles back at you.
But you can't climb to save your life. Let me get it.,But you can't climb to save your life. Let me get it.
At least get a ladder or something.,At least get a ladder or something.
"No thanks, I need my oregano.","No thanks, I need my oregano."
[fembro_nouns[0]!c]'s barely holding [fembro_nouns[1]]self up.,[fembro_nouns[0]!c]'s barely holding [fembro_nouns[1]]self up.
Until [fembro_nouns[0]] isn't.,Until [fembro_nouns[0]] isn't.
AAH!,AAH!
[fembro.name]!,[fembro.name]!
...,...
A familiar sponginess hugs your crotch.,A familiar sponginess hugs your crotch.
[main.name],[main.name]
Are you alright?,Are you alright?
"You came to apologize, and now look at you. Your cock is in the same place as last night.","You came to apologize, and now look at you. Your cock is in the same place as last night."
"The same, soft, warm, boun-","The same, soft, warm, boun-"
Wha- What for?,Wha- What for?
"You hit your head, but you're so worried about me that you don't even care!","You hit your head, but you're so worried about me that you don't even care!"
Don't worry about it. I'm sturdy.,Don't worry about it. I'm sturdy.
It's not about that. You got hurt because of me.,It's not about that. You got hurt because of me.
"Frustrated, you pull [fembro_nouns[1]] over to you.","Frustrated, you pull [fembro_nouns[1]] over to you."
"[fembro.name], you're my [fembro_nouns[4]].","[fembro.name], you're my [fembro_nouns[4]]."
"Stop feeling guilty, I want you to be safe.","Stop feeling guilty, I want you to be safe."
You loosen your grip. [fembro_nouns[0]!c] feels so easy to break.,You loosen your grip. [fembro_nouns[0]!c] feels so easy to break.
"[fembro.name], I'd rather get injured than let you get hurt.","[fembro.name], I'd rather get injured than let you get hurt."
...,...
At first worry that [fembro_nouns[0]]'ll panic at that. But... [fembro_nouns[0]] just stare at you.,At first worry that [fembro_nouns[0]]'ll panic at that. But... [fembro_nouns[0]] just stare at you.
Is [fembro_nouns[0]] intrigued? Amazed? Content? You can't tell.,Is [fembro_nouns[0]] intrigued? Amazed? Content? You can't tell.
"Then, [fembro_nouns[0]] snaps out of it.","Then, [fembro_nouns[0]] snaps out of it."
O-okay.,O-okay.
"[fembro_nouns[0]!c] nods and smiles a little. Then [fembro_nouns[0]] rushes off, blushing.","[fembro_nouns[0]!c] nods and smiles a little. Then [fembro_nouns[0]] rushes off, blushing."
But you're glad [fembro.name] isn't upset or hurt.,But you're glad [fembro.name] isn't upset or hurt.
Hah!,Hah!
She stops the last punch before she hits the bag. The sweat from her arm splashes into it instead.,She stops the last punch before she hits the bag. The sweat from her arm splashes into it instead.
Wow,Wow
"Oh, howdy.","Oh, howdy."
Hey.,Hey.
I really am sorry for earlier.,I really am sorry for earlier.
"Hey, as long as you don't go as hard as you are on that punching bag, I should be fine.","Hey, as long as you don't go as hard as you are on that punching bag, I should be fine."
Haha,Haha
"It's fine, really.","It's fine, really."
The kiss really did help...,The kiss really did help...
She blushes again.,She blushes again.
So are you training for anything?,So are you training for anything?
Huh?,Huh?
Like a tournament or something?,Like a tournament or something?
"Nah, I just like exercising. Can't stand still for too long. You know?","Nah, I just like exercising. Can't stand still for too long. You know?"
"Howdy, [fembro.name]","Howdy, [fembro.name]"
Ho-Howdy.,Ho-Howdy.
The lion meets the mouse.,The lion meets the mouse.
Auntie? Can you... Do the thing?,Auntie? Can you... Do the thing?
What thing?,What thing?
"Oh yeah, [main.name] hasn't seen my guns. Has he?","Oh yeah, [main.name] hasn't seen my guns. Has he?"
"Oh, I never took you for a gun nut.","Oh, I never took you for a gun nut."
"Well then, let me show you.","Well then, let me show you."
[fembro.name] squees as [aunt.name]'s arms rise.,[fembro.name] squees as [aunt.name]'s arms rise.
"It's not just the size, but the definition that's impressive.","It's not just the size, but the definition that's impressive."
"Enjoying the show, I see.","Enjoying the show, I see."
"She makes her arm muscles bounce, and flexes her chest, making her breasts shift ever so slightly.","She makes her arm muscles bounce, and flexes her chest, making her breasts shift ever so slightly."
It's mesmerizing how she makes them move.,It's mesmerizing how she makes them move.
You don't blame them.,You don't blame them.
Her sweat glistening off her body entices you as well.,Her sweat glistening off her body entices you as well.
Alright you two. Eyes back in your skulls.,Alright you two. Eyes back in your skulls.
"You blush, but [fembro.name] for once, is utterly shameless.","You blush, but [fembro.name] for once, is utterly shameless."
Maybe tomorrow. But I'll let you watch me work out.,Maybe tomorrow. But I'll let you watch me work out.
"You realize you have important stuff to get to, but [fembro.name] accepts the invitation happily.","You realize you have important stuff to get to, but [fembro.name] accepts the invitation happily."
"You didn't know Aunt [aunt.name] woke up this early,","You didn't know Aunt [aunt.name] woke up this early,"
Isn't it her day off?,Isn't it her day off?
"Then again, she may not be used to it.","Then again, she may not be used to it."
She looks like she's dying.,She looks like she's dying.
Damn. It must be the 'Cason' family genes.,Damn. It must be the 'Cason' family genes.
I have an idea.,I have an idea.
That's the first time I've seen her blush.,That's the first time I've seen her blush.
And not a rubber mallet.,And not a rubber mallet.
Please... Still work...,Please... Still work...
Why are you getting so worked up over a kiss on the head from your aunt?,Why are you getting so worked up over a kiss on the head from your aunt?
There were also boobs.,There were also boobs.
"Your butt hurts a lot, so it must have taken most of the force.","Your butt hurts a lot, so it must have taken most of the force."
"Thank God, not a direct hit.","Thank God, not a direct hit."
You try your best not to make a scene as you waddle out of the kitchen.,You try your best not to make a scene as you waddle out of the kitchen.
Please... Still work.,Please... Still work.
"Hey [fembro.name], I wanna-","Hey [fembro.name], I wanna-"
Focus.,Focus.
What are you doing?,What are you doing?
Woah,Woah
No! No. I can do it myself.,No! No. I can do it myself.
[fembro_nouns[0]!c] has something to prove. But to who?,[fembro_nouns[0]!c] has something to prove. But to who?
[fembro_nouns[0]!c]'s surprisingly weak at climbing.,[fembro_nouns[0]!c]'s surprisingly weak at climbing.
With all that booty too...,With all that booty too...
"As you come to, it takes everything in you not to grind into [fembro_nouns[1]].","As you come to, it takes everything in you not to grind into [fembro_nouns[1]]."
At least I caught [fembro_nouns[1]].,At least I caught [fembro_nouns[1]].
Your sigh warbles.,Your sigh warbles.
Pull it together! You're in the kitchen.,Pull it together! You're in the kitchen.
"You take a deep breath, and help [fembro.name] to [fembro_nouns[2]] feet.","You take a deep breath, and help [fembro.name] to [fembro_nouns[2]] feet."
No! focus.,No! focus.
I'm So Sorry!,I'm So Sorry!
"Alright, time to apolo-","Alright, time to apolo-"
Your hand brushes the back of your head. There is indeed a bruise.,Your hand brushes the back of your head. There is indeed a bruise.
Huh... Horny trumps pain it seems.,Huh... Horny trumps pain it seems.
I keep messing things up...,I keep messing things up...
... That explains things.,... That explains things.
You don't quite know what to make of this situation.,You don't quite know what to make of this situation.
This is a win... Right?,This is a win... Right?
Yah,Yah
"Damn, she's thrashing that punching bag.","Damn, she's thrashing that punching bag."
You understand the standing part. Usually because you like sitting after a while.,You understand the standing part. Usually because you like sitting after a while.
Lying down is nice too.,Lying down is nice too.
"And although you're silent, you're very starstruck as well.","And although you're silent, you're very starstruck as well."
I've never seen muscles like that in person.,I've never seen muscles like that in person.
To think those were the same arms that held you so tenderly.,To think those were the same arms that held you so tenderly.
The same arms that punched me...,The same arms that punched me...
[fembro.name] whimpers with excitement.,[fembro.name] whimpers with excitement.
Did [fembro_nouns[0]] cream [fembro_nouns[2]] shorts?,Did [fembro_nouns[0]] cream [fembro_nouns[2]] shorts?
Aw... Can you do it again later?,Aw... Can you do it again later?
Wow... [fembro_nouns[0]]'s addicted.,Wow... [fembro_nouns[0]]'s addicted.
